m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
56.23413251903491,0.1,0.00025118864315095795,1.270354071574097e-15,35.16086884980362
56.23413251903491,0.1,0.00039810717055349735,5.057370650354795e-15,88.32010938390965
56.23413251903491,0.1778279410038923,0.0001,7.260725149519357e-17,5.276508744126019
56.23413251903491,0.1778279410038923,0.00015848931924611142,2.890546745441773e-16,13.253990720111814
56.23413251903491,0.1778279410038923,0.00025118864315095795,1.150747386180442e-15,33.29251945320271
56.23413251903491,0.1778279410038923,0.00039810717055349735,4.581207859341291e-15,83.62702788526872
56.23413251903491,0.31622776601683794,0.0001,6.152326498346478e-17,4.98039532278101
56.23413251903491,0.31622776601683794,0.00015848931924611142,2.449285294578025e-16,12.510187434847403
56.23413251903491,0.31622776601683794,0.00025118864315095795,9.750780385027444e-16,31.424170073234787
56.23413251903491,0.31622776601683794,0.00039810717055349735,3.881855589771822e-15,78.93394642840795
56.23413251903491,0.5623413251903491,0.0001,4.752905412289896e-17,4.684281909310802
56.23413251903491,0.5623413251903491,0.00015848931924611142,1.892165725595136e-16,11.7663841693636
56.23413251903491,0.5623413251903491,0.00025118864315095795,7.532847432349832e-16,29.555820742953514
56.23413251903491,0.5623413251903491,0.00039810717055349735,2.9988805775039725e-15,74.2408650963544
56.23413251903491,1.0,0.0001,3.18392506115964e-17,4.388168519283707
56.23413251903491,1.0,0.00015848931924611142,1.2675433973526363e-16,11.022580962766238
56.23413251903491,1.0,0.00025118864315095795,5.046181154738243e-16,27.68747156058828
56.23413251903491,1.0,0.00039810717055349735,2.0089209016132242e-15,69.54778413584914
100.0,5.623413251903491e-06,0.0001,1.6854704429477254e-17,1.93879825907224
100.0,5.623413251903491e-06,0.00015848931924611142,6.709978690934694e-17,4.870041040397959
100.0,5.623413251903491e-06,0.00025118864315095795,2.671290631122265e-16,12.232990010270415
100.0,5.623413251903491e-06,0.00039810717055349735,1.0634599548821524e-15,30.727881623590523
100.0,5.623413251903491e-06,0.000630957344480193,4.233710336350827e-15,77.1849489193295
100.0,1e-05,0.0001,1.685450049838043e-17,1.886141018347707
100.0,1e-05,0.00015848931924611142,6.709897504502751e-17,4.737772031901271
100.0,1e-05,0.00025118864315095795,2.671258310221557e-16,11.90074528251836
100.0,1e-05,0.00039810717055349735,1.0634470876998217e-15,29.89332060000954
100.0,1e-05,0.000630957344480193,4.23365911117532e-15,75.08862640792968
100.0,1.778279410038923e-05,0.0001,1.685416259750234e-17,1.833483777623174
100.0,1.778279410038923e-05,0.00015848931924611142,6.709762983740246e-17,4.605503023404583
100.0,1.778279410038923e-05,0.00025118864315095795,2.671204756541415e-16,11.568500554766304
100.0,1.778279410038923e-05,0.00039810717055349735,1.0634257675957478e-15,29.05875957642856
100.0,1.778279410038923e-05,0.000630957344480193,4.233574234312232e-15,72.99230389652988
